id,name,supertype,types,price_date,normal_market,normal_low,normal_high,reverse_market,reverse_low,reverse_high,holo_market,holo_low,holo_high,month
swsh1-175,Pokémon Catcher,Trainer,,2025/02/22,0.07,0.02,2.0,0.27,0.05,2.0,,,,feb
swsh1-176,Pokémon Center Lady,Trainer,,2025/02/22,0.1,0.03,1.31,0.23,0.06,2.0,,,,feb
swsh1-177,Potion,Trainer,,2025/02/22,0.04,0.01,1.31,0.18,0.04,2.0,,,,feb
swsh1-178,Professor's Research (Professor Magnolia),Trainer,,2025/02/22,,,,0.31,0.15,2.0,0.14,0.06,2.0,feb
swsh1-179,Quick Ball,Trainer,,2025/02/22,0.15,0.03,11.5,0.34,0.12,5.99,,,,feb
swsh1-180,Rare Candy,Trainer,,2025/02/22,0.13,0.02,1.5,0.33,0.11,2.49,,,,feb
swsh1-181,Rotom Bike,Trainer,,2025/02/22,0.08,0.01,3.0,0.16,0.04,2.0,,,,feb
swsh1-182,Sitrus Berry,Trainer,,2025/02/22,0.07,0.01,11.5,0.12,0.06,2.0,,,,feb
swsh1-183,Switch,Trainer,,2025/02/22,0.08,0.01,5.01,0.21,0.11,2.0,,,,feb
swsh1-184,Team Yell Grunt,Trainer,,2025/02/22,0.04,0.01,5.01,0.13,0.05,2.0,,,,feb
swsh1-185,Vitality Band,Trainer,,2025/02/22,0.07,0.01,1.5,0.19,0.09,2.0,,,,feb
swsh1-186,Aurora Energy,Energy,,2025/02/22,0.27,0.1,2.47,0.44,0.15,6.47,,,,feb
swsh1-187,Dhelmise V,Pokémon,Grass,2025/02/22,,,,,,,2.27,0.99,20.0,feb
swsh1-188,Torkoal V,Pokémon,Fire,2025/02/22,,,,,,,2.71,1.7,89.0,feb
swsh1-189,Lapras V,Pokémon,Water,2025/02/22,,,,,,,3.56,2.5,20.0,feb
swsh1-190,Morpeko V,Pokémon,Lightning,2025/02/22,,,,,,,3.29,2.16,12.47,feb
swsh1-191,Wobbuffet V,Pokémon,Psychic,2025/02/22,,,,,,,2.46,1.5,89.0,feb
swsh1-192,Indeedee V,Pokémon,Psychic,2025/02/22,,,,,,,1.51,0.98,20.0,feb
swsh1-193,Stonjourner V,Pokémon,Fighting,2025/02/22,,,,,,,1.69,0.95,20.0,feb
swsh1-194,Sableye V,Pokémon,Darkness,2025/02/22,,,,,,,4.8,3.74,12.99,feb
swsh1-195,Zacian V,Pokémon,Metal,2025/02/22,,,,,,,3.07,2.45,29.99,feb
swsh1-196,Zamazenta V,Pokémon,Metal,2025/02/22,,,,,,,2.75,1.9,14.0,feb
swsh1-197,Snorlax V,Pokémon,Colorless,2025/02/22,,,,,,,12.45,10.0,89.0,feb
swsh1-198,Cramorant V,Pokémon,Colorless,2025/02/22,,,,,,,1.52,1.1,89.0,feb
swsh1-199,Bede,Trainer,,2025/02/22,,,,,,,4.19,2.5,23.0,feb
swsh1-200,Marnie,Trainer,,2025/02/22,,,,,,,38.19,36.93,99.99,feb
swsh1-201,Professor's Research (Professor Magnolia),Trainer,,2025/02/22,,,,,,,3.96,2.9,29.0,feb
swsh1-202,Team Yell Grunt,Trainer,,2025/02/22,,,,,,,2.53,1.45,89.0,feb
swsh1-203,Lapras VMAX,Pokémon,Water,2025/02/22,,,,,,,11.72,7.99,32.93,feb
swsh1-204,Morpeko VMAX,Pokémon,Lightning,2025/02/22,,,,,,,7.23,6.0,49.99,feb
swsh1-205,Stonjourner VMAX,Pokémon,Fighting,2025/02/22,,,,,,,5.99,5.0,89.0,feb
swsh1-206,Snorlax VMAX,Pokémon,Colorless,2025/02/22,,,,,,,48.82,44.77,179.0,feb
swsh1-207,Bede,Trainer,,2025/02/22,,,,,,,4.35,3.0,14.99,feb
swsh1-208,Marnie,Trainer,,2025/02/22,,,,,,,15.56,13.69,69.99,feb
swsh1-209,Professor's Research (Professor Magnolia),Trainer,,2025/02/22,,,,,,,4.24,3.5,19.99,feb
swsh1-210,Team Yell Grunt,Trainer,,2025/02/22,,,,,,,3.78,3.0,89.0,feb
swsh1-211,Zacian V,Pokémon,Metal,2025/02/22,,,,,,,14.34,11.5,179.0,feb
swsh1-212,Zamazenta V,Pokémon,Metal,2025/02/22,,,,,,,9.97,8.04,29.95,feb
swsh1-213,Air Balloon,Trainer,,2025/02/22,,,,,,,3.61,2.75,89.0,feb
swsh1-214,Metal Saucer,Trainer,,2025/02/22,,,,,,,3.61,2.2,89.0,feb
swsh1-215,Ordinary Rod,Trainer,,2025/02/22,,,,,,,4.63,3.55,20.99,feb
swsh1-216,Quick Ball,Trainer,,2025/02/22,,,,,,,12.24,10.0,41.9,feb
swsh10-1,Beedrill V,Pokémon,Grass,2025/02/22,,,,,,,0.71,0.29,89.0,feb
swsh10-2,Hisuian Voltorb,Pokémon,Grass,2025/02/22,0.1,0.01,10.0,0.27,0.2,2.0,,,,feb
swsh10-3,Hisuian Electrode,Pokémon,Grass,2025/02/22,0.08,0.01,10.0,0.18,0.05,2.0,,,,feb
swsh10-4,Scyther,Pokémon,Grass,2025/02/22,0.05,0.01,10.0,0.42,0.11,2.0,,,,feb
swsh10-5,Scyther,Pokémon,Grass,2025/02/22,0.08,0.01,2.03,0.25,0.03,1.99,,,,feb
swsh10-6,Yanma,Pokémon,Grass,2025/02/22,0.04,0.01,10.0,0.13,0.05,2.0,,,,feb
swsh10-7,Yanmega,Pokémon,Grass,2025/02/22,0.06,0.01,11.5,0.13,0.05,2.0,,,,feb
swsh10-8,Heracross,Pokémon,Grass,2025/02/22,0.06,0.01,10.0,0.21,0.07,2.0,,,,feb
swsh10-9,Kricketot,Pokémon,Grass,2025/02/22,0.03,0.01,10.0,0.15,0.04,2.0,,,,feb
swsh10-10,Kricketune,Pokémon,Grass,2025/02/22,0.06,0.01,1.99,0.23,0.05,2.0,,,,feb
swsh10-11,Combee,Pokémon,Grass,2025/02/22,0.05,0.01,10.0,0.21,0.05,2.0,,,,feb
swsh10-12,Vespiquen,Pokémon,Grass,2025/02/22,0.1,0.01,100.0,0.13,0.03,2.0,,,,feb
swsh10-13,Leafeon,Pokémon,Grass,2025/02/22,0.24,0.06,100.0,0.43,0.09,5.95,,,,feb
swsh10-14,Shaymin,Pokémon,Grass,2025/02/22,0.11,0.01,100.0,0.27,0.09,2.25,,,,feb
swsh10-15,Petilil,Pokémon,Grass,2025/02/22,0.06,0.01,1.99,0.12,0.04,2.0,,,,feb
swsh10-16,Hisuian Lilligant,Pokémon,Grass,2025/02/22,,,,0.27,0.07,2.0,0.23,0.03,100.0,feb
swsh10-17,Hisuian Lilligant V,Pokémon,Grass,2025/02/22,,,,,,,0.63,0.2,14.99,feb
swsh10-18,Hisuian Lilligant VSTAR,Pokémon,Grass,2025/02/22,,,,,,,1.62,0.9,12.49,feb
swsh10-19,Rowlet,Pokémon,Grass,2025/02/22,0.04,0.01,1.99,0.16,0.05,2.0,,,,feb
swsh10-20,Dartrix,Pokémon,Grass,2025/02/22,0.07,0.01,10.0,0.19,0.05,2.0,,,,feb
swsh10-21,Ponyta,Pokémon,Fire,2025/02/22,0.06,0.01,2.05,0.18,0.04,2.0,,,,feb
